# خريطة التقنيات الشاملة لبناء MiMo AI

## منظومة ذكاء اصطناعي شخصي كاملة

> كل تقنية مذكورة باسمها بالعربي والإنجليزي، مع التصنيف والأولوية

---

## 1. البنية المعرفية — التخطيط والتفكير

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
## 3. الذاكرة — تقنيات التخزين والاسترجاع

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 52 | قاعدة البيانات الشعاعية | Vector Database | تخزين embeddings للبحث الدلالي | P0 |
| 53 | التضمينات | Embeddings | تحويل النصوص لأرقام للتشابه | P0 |
| 54 | التضمينات المحلية | Local Embeddings | تشغيل محلي بدون إنترنت | P1 |
| 55 | البحث الشعاعي | Vector Search | بحث بالتشابه الدلالي | P0 |
| 56 | البحث بالكلمات المفتاحية | BM25 Keyword Search | بحث نصي تقليدي | P0 |
| 57 | البحث الهجين | Hybrid Search | دمج بحث دلالي + كلماتي | P0 |
| 58 | إعادة الترتيب | Reranking | ترتيب نتائج البحث حسب الصلة | P0 |
| 59 | البحث السياقي | Contextual Retrieval | تضمين السياق مع كل قطعة | P1 |
| 60 | الذاكرة المخزنة في الملفات | File-Based Memory | تخزين بسيط في ملفات نصية | P0 |

---

## 4. بنية المعرفة — الرسم البياني للمعرفة

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 61 | الرسم البياني للمعرفة | Knowledge Graph (KG) | شبكة كيانات وعلاقات منظمة | P0 |
| 62 | الرسم البياني المعرفي للسياق | GraphRAG | استخراج KG من النصوص ثم RAG عليه | P0 |
| 63 | KG الزمني | Temporal Knowledge Graph | KG مع بُعد زمني | P1 |
| 64 | KG الشخصي | Personal Knowledge Graph | KG خاص بالمستخدم | P0 |
| 65 | KG من أسماء الملفات | PKG from File Names | بناء KG من هيكل الملفات | P2 |
| 66 | حل الكيانات | Entity Resolution | ربط كيانات متشابهة | P1 |
| 67 | ربط الكيانات | Entity Linking | ربط بقاعدة معرفة خارجية | P2 |
| 68 | استخراج الكيانات المسماة | Named Entity Recognition (NER) | اكتشاف أسماء أشخاص وأماكن | P1 |
| 69 | استخراج العلاقات | Relationship Extraction | اكتشاف علاقات بين كيانات | P1 |
| 70 | استخراج المعرفة | Knowledge Extraction | استخراج معرفة من نصوص | P0 |
| 71 | تركيب المعرفة | Knowledge Synthesis | دمج معرفة من مصادر متعددة | P1 |
| 72 | التحقق من المعرفة | Knowledge Validation | التأكد من صحة المعلومات | P1 |
| 73 | النسخ المعرفي | Knowledge Versioning | إصدارات متعددة للمعرفة | P2 |
| 74 | الأنطولوجيا | Ontology | تصنيف منظم للمفاهيم | P1 |
| 75 | الشبكات الدلالية | Semantic Networks | شبكة مفاهيم مرتبطة | P1 |
| 76 | نمذجة العالم الشخصي | Personal World Model | نموذج لفهم واقع المستخدم | P3 |
| 77 | استخراج triples من النص | Triple Extraction | استخراج (كيان، علاقة، كيان) | P1 |

---

## 5. بنية Agent — العامل الذكي

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 78 | عامل واحد | Single Agent | عامل واحد ينفذ كل شيء | P0 |
| 79 | عامل تفكير وفعل | ReAct Agent | يفكر ثم يتصرف ثم يراقب | P0 |
| 80 | متعدد العمال | Multi-Agent | عدة عمال متخصصين | P1 |
| 81 | عمال هرمية | Hierarchical Agents | مدير + عمال فرعيون | P1 |
| 82 | عامل مشرف | Supervisor Agent | يدير عمالاً أخرى | P1 |
| 83 | مخطط و منفذ | Planner-Executor | واحد يخطط وآخر ينفذ | P1 |
| 84 | عامل ناقد | Critic Agent | يراجع شغل العمال الأخرى | P1 |
| 85 | عامل محقق | Verifier Agent | يتحقق من صحة النتائج | P1 |
| 86 | عامل قاضي | Judge Agent | يحكم على جودة الإجابات | P2 |
| 87 | عمال متخصصون | Specialist Agents | كل عامل متخصص بمجال | P1 |
| 88 | إنشاء ديناميكي للعمال | Dynamic Agent Creation | إنشاء عامل عند الحاجة | P2 |
| 89 | توجيه ديناميكي للعمال | Dynamic Agent Routing | اختيار العامل المناسب لكل مهمة | P1 |
| 90 | تسليم المهمة | Agent Handoff | نقل مهمة بين عمال | P1 |
| 91 | تفويض المهمة | Agent Delegation | تفويض جزء من المهمة | P1 |
| 92 | تعاون العمال | Agent Collaboration | عمال يعملون معاً | P1 |
| 93 | مفاوضة العمال | Agent Negotiation | عمال يتفاوضون لاتخاذ قرار | P3 |
| 94 | تصويت العمال | Agent Voting | عمال يصوتون لاتخاذ قرار | P3 |
| 95 | مناظرة العمال | Agent Debate | عمال يتحاورون للوصول لقرار | P3 |
| 96 | سرب العمال | Agent Swarm | مجموعة عمال بدون مدير | P3 |
| 97 | فريق العمال | Agent Team | فريق منظّم ب أدوار | P1 |
| 98 | عمال بأدوار | Role-Based Agents | كل عامل له دور محدد | P1 |
| 99 | عامل مستقل | Autonomous Agent | يعمل بدون تدخل المستخدم | P2 |
| 100 | عامل طويل الأمد | Long-Running Agent | ينفذ مهام تمتد لساعات/أيام | P2 |
| 101 | حلقة العامل | Agent Loop | حلقة تفكير-فعل-مراقبة مستمرة | P0 |
| 102 | دورة حياة العامل | Agent Lifecycle | مراحل حياة المهمة | P0 |
| 103 | نقاط التفتيش | Checkpointing | حفظ حالة العامل للرجوع | P1 |

---

## 6. أطر العمال — إطار عمل الـ Agents

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 104 | الرسم البياني اللغوي | LangGraph | إطار عمل مبني على مخططات directed graph | P0 |
| 105 | العمال العميقون | DeepAgents | LangChain — عمال تخطيطية + ذاكرة ملفات | P1 |
| 106 | حزمة عمال OpenAI | OpenAI Agents SDK | إطار OpenAI للعمال | P0 |
| 107 | حزمة عمال Claude | Claude Agent SDK | إطار Anthropic للعمال | P0 |
| 108 | حزمة تطوير Google | Google ADK | إطار Google للعمال | P1 |
| 109 | ذكاء Pydantic | Pydantic AI | إطار Python مع type safety | P1 |
| 110 | طاقم AI | CrewAI | فرق عمال بأدوار | P1 |
| 111 | عمال Strands | Strands Agents | إطار AWS للعمال | P1 |
| 112 | Mastra | Mastra | إطار TypeScript للعمال | P0 |
| 113 | حزمة AI من Vercel | Vercel AI SDK | إطار Vercel للعمال مع Next.js | P0 |
| 114 | إطار عمل Microsoft | Microsoft Agent Framework | إطار Microsoft للعمال | P1 |
| 115 | Agno | Agno | إطار بسيط وسريع | P2 |
| 116 | Smolagents | Smolagents | HuggingFace — أبسط طريق لـ agent | P1 |
| 117 | AutoGen | AutoGen | إطار Microsoft للعمال المحادثين | P1 |
| 118 | النواة الدلالية | Semantic Kernel | إطار Microsoft لـ .NET/Python | P2 |
| 119 | Dify | Dify | منصة LLM بدون كود | P1 |
| 120 | Haystack | Haystack | إطار مخصص لـ RAG pipelines | P1 |

---

## 7. بنية الأدوات — القدرات

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 121 | استدعاء الدوال | Function Calling | الـ LLM يستدعي دوال محددة | P0 |
| 122 | استدعاء الأدوات | Tool Calling | الـ LLM يستدعي أدوات | P0 |
| 123 | توجيه الأدوات | Tool Routing | اختيار الأداة المناسبة | P1 |
| 124 | أدوات ديناميكية | Dynamic Tools | إنشاء أدوات عند الحاجة | P2 |
| 125 | اكتشاف الأدوات | Tool Discovery | العثور على أدوات متاحة | P2 |
| 126 | تركيب الأدوات | Tool Composition | دمج أدوات بسيطة لأداة معقدة | P2 |
| 127 | تسلسل الأدوات | Tool Chaining | تنفيذ أدوات بالتتابع | P1 |
| 128 | التحقق من الأدوات | Tool Verification | التأكد من نتيجة الأداة | P1 |
| 129 | صلاحيات الأدوات | Tool Permissions | كل أداة لها مستوى صلاحية | P0 |
| 130 | عزل الأدوات | Tool Sandboxing | تنفيذ معزول للأدوات الخطرة | P0 |
| 131 | موثوقية الأدوات | Tool Reliability | قياس مدى نجاح الأداة | P1 |
| 132 | إعادة المحاولة | Tool Retries | إعادة تنفيذ عند الفشل | P0 |
| 133 | التراجع | Tool Rollback | إلغاء تنفيذ أداة | P1 |
| 134 | معاملات الأدوات | Tool Transactions | عمليات متعددة كوحدة واحدة | P2 |
| 135 | محاكاة الأدوات | Tool Simulation / Dry Run | محاكاة بدون تنفيذ حقيقي | P1 |
| 136 | موافقة التنفيذ | Approval Workflow | طلب موافقة المستخدم قبل التنفيذ | P0 |
| 137 | سياسات الأدوات | Tool Policy Engine | قواعد تحكم تنفيذ الأدوات | P0 |
| 138 | سجل تأثير الأدوات | Tool Tracing | تسجيل كل استدعاء أداة | P1 |
| 139 | الهرم: قدرة→مجال→مهارة→أداة | Capability→Domain→Skill→Tool | تصنيف هرمي للأدوات | P1 |
| 140 | محرك التشغيل الآمن | Runtime Gateway | بيئة تنفيذ معزولة وآمنة | P0 |

---

## 8. بروتوكولات — MCP + A2A + AP2

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 141 | بروتوكول سياق النموذج | Model Context Protocol (MCP) | ربط الـ LLM بالأدوات والبيانات | P0 |
| 142 | خادم MCP | MCP Server | يوفر أدوات وموارد للـ LLM | P0 |
| 143 | عميل MCP | MCP Client | يتصل بخوادم MCP | P0 |
| 144 | موارد MCP | MCP Resources | بيانات يمكن للـ LLM قراءتها | P0 |
| 145 | أدوات MCP | MCP Tools | وظائف يمكن للـ LLM تنفيذها | P0 |
| 146 | أوامر MCP | MCP Prompts | قوالب أوامر محفوظة | P1 |
| 147 | تفويض MCP | MCP Authorization | OAuth 2.0 لحماية خوادم MCP | P1 |
| 148 | مهام MCP | MCP Tasks | مهام طويلة عبر MCP | P2 |
| 149 | توجيه MCP | MCP Routing | اختيار الخادم المناسب | P1 |
| 150 | أمان MCP | MCP Security | حماية خوادم MCP | P1 |
| 151 | بوابة MCP | MCP Gateway | نقطة دخول موحدة لخوادم MCP | P2 |
| 152 | بروتوكول العامل إلى العامل | A2A Protocol | تواصل بين Agents من موردين مختلفين | P1 |
| 153 | بطاقة العامل | Agent Card | بطاقة تعريف Agent (قدرات وأدوات) | P1 |
| 154 | اكتشاف العمال | Agent Discovery | كيف Agents تكتشف بعضها | P2 |
| 155 | تفاوض القدرة | Capability Negotiation | مفاوضة قدرات بين Agents | P2 |
| 156 | بروتوكول دفع العمال | Agent Payments Protocol (AP2) | دفع آمن عبر Agents | P3 |
| 157 | تفويض النية | Intent Mandate | عقد رقمي يثبت نية المستخدم | P3 |
| 158 | تفويض السلة | Cart Mandate | عقد رقمي يؤكد محتويات الشراء | P3 |
| 159 | بروتوكول عمال Microsoft | Microsoft Agent Governance | حوكمة أمان Agents | P1 |

---

## 9. ذكاء المتصفح — التصفح الذكي

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 160 | أتمتة المتصفح | Browser Automation | التحكم بالمتصفح برمجياً | P0 |
| 161 | عمال المتصفح | Browser Agents | Agent يتحكم بالتصفح | P0 |
| 162 | Playwright | Playwright | أتمتة multi-browser | P0 |
| 163 | استخدام المتصفح | browser-use | Agent يتحكم بالتصفح بالذكاء | P0 |
| 164 | Puppeteer | Puppeteer | أتمتة Chrome | P1 |
| 165 | Stagehand | Stagehand | أتمتة متصفح بالذكاء الاصطناعي | P1 |
| 166 | فهم DOM | DOM Understanding | قراءة HTML مباشرة | P0 |
| 167 | شجرة إمكانية الوصول | Accessibility Tree | فهم الصفحة من منظور إمكانية الوصول | P1 |
| 168 | التفاعل البصري مع المتصفح | Visual Browser Interaction | استخدام الصور للتفاعل | P1 |
| 169 | التفكير من لقطات الشاشة | Screenshot Reasoning | تحليل صور الشاشة | P1 |
| 170 | تصفح الويب | Web Navigation | الانتقال بين صفحات الويب | P0 |
| 171 | ملء الاستمارات | Form Fill | ملء نماذج تلقائياً | P0 |
| 172 | إدارة الجلسة | Session Management | إدارة cookies و login | P1 |
| 173 | ذاكرة المتصفح | Browser Memory | تذكر حالة التصفح | P2 |
| 174 | فهم الصفحة | Page Understanding | فهم محتوى الصفحة | P0 |
| 175 | تخطيط مهمة الويب | Web Task Planning | تقسيم مهمة تصفح لخطوات | P1 |
| 176 | التحقق من المتصفح | Browser Verification | التأكد من نجاح التفاعل | P1 |

---

## 10. استخدام الكمبيوتر — التحكم بالجهاز

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 177 | عمال استخدام الكمبيوتر | Computer-Use Agents | Agent يتحكم بالكمبيوتر | P1 |
| 178 | عمال واجهة المستخدم | GUI Agents | Agent يتحكم بالواجهة الرسومية | P2 |
| 179 | أتمتة سطح المكتب | Desktop Automation | التحكم بالتطبيقات | P1 |
| 180 | تفاعل نظام التشغيل | OS Interaction | التفاعل مع نظام التشغيل | P1 |
| 181 | عامل الطرفية | Terminal Agent | Agent يستخدم سطر الأوامر | P0 |
| 182 | عامل الملفات | Filesystem Agent | Agent يقرأ ويكتب ملفات | P0 |
| 183 | تحكم التطبيقات | Application Control | التحكم بالتطبيقات المفتوحة | P2 |
| 184 | واجهات إمكانية الوصول | Accessibility APIs | APIs نظام التشغيل للتحكم | P1 |
| 185 | التحكم بالرؤية | Vision-Based Control | استخدام الصور للتحكم بالكمبيوتر | P2 |
| 186 | التحكم بالهيكل | Structured UI Control | التحكم بالعناصر مباشرة | P1 |

---

## 11. ذكاء البرمجة — العامل البرمجي

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 187 | عمال البرمجة | Coding Agents | Agent يكتب أكواد | P0 |
| 188 | توليد الكود | Code Generation | كتابة كود تلقائياً | P0 |
| 189 | تعديل الكود | Code Editing | تعديل كود موجود | P0 |
| 190 | فهم المستودع | Repository Understanding | فهم مشروع برمجي كامل | P1 |
| 191 | فهرسة قاعدة الكود | Codebase Indexing | إنشاء فهرس للكود | P1 |
| 192 | فهم شجرة الكود | AST Understanding | تحليل هيكل الكود | P1 |
| 193 | البحث الدلالي في الكود | Semantic Code Search | بحث بالمعنى في الكود | P1 |
| 194 | توليد الاختبارات | Test Generation | كتابة اختبارات تلقائياً | P1 |
| 195 | التصحيح الآلي | Automated Debugging | إصلاح أخطاء تلقائياً | P1 |
| 196 | تنفيذ الكود | Code Execution | تشغيل كود فعلياً | P0 |
| 197 | تنفيذ معزول | Sandbox Execution | تشغيل كود في بيئة آمنة | P0 |
| 198 | تحليل التبعيات | Dependency Analysis | فهم مكتبات المشروع | P2 |
| 199 | إعادة هيكلة الكود | Refactoring | تحسين بنية الكود | P2 |
| 200 | عامل هندسة البرمجيات | SWE Agent | Agent ينفذ مهام هندسة برمجيات | P1 |
| 201 | تدقيق الكود | Code Review | مراجعة كود تلقائية | P1 |
| 202 | توثيق الكود | Code Documentation | توليد توثيق للكود | P1 |

---

## 12. بيئة التنفيذ الآمن — Sandbox

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 203 | بيئة آمنة | Secure Sandbox | تنفيذ معزول وآمن | P0 |
| 204 | تنفيذ معزول | Isolated Execution | بيئة منفصلة عن النظام | P0 |
| 205 | حاويات | Containers (Docker) | عزل بالحاويات | P0 |
| 206 | آلة افتراضية صغيرة | MicroVM (Firecracker) | آلة افتراضية خفيفة | P1 |
| 207 | رمل WebAssembly | WASM Sandbox | تنفيذ معزول عبر WebAssembly | P2 |
| 208 | رمل بايثون | Python Sandbox | بيئة بايثون معزولة | P0 |
| 209 | رمل الطرفية | Shell Sandbox | طرفية معزولة | P0 |
| 210 | عزل نظام الملفات | Filesystem Isolation | حماية الملفات | P0 |
| 211 | عزل الشبكة | Network Isolation | حماية الاتصالات | P1 |
| 212 | حصص الموارد | Resource Quotas | حدود CPU و RAM | P1 |
| 213 | مهلة التنفيذ | Execution Timeout | حد زمني للتنفيذ | P0 |
| 214 | الاسترجاع | Rollback | إرجاع الحالة السابقة | P1 |
| 215 | E2B | E2B | بيئة كود آمنة للـ AI | P1 |
| 216 | Modal | Modal | خدمة تنفيذ serverless آمنة | P2 |

---

## 13. البحث الذكي — البحث المتقدم

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 217 | بحث الويب | Web Search | بحث في الإنترنت | P0 |
| 218 | بحث عميق | Deep Research | بحث معمق متعدد المصادر | P1 |
| 219 | بحث متعدد الاستعلامات | Multi-Query Research | عدة أسئلة بحث متزامنة | P1 |
| 220 | توسيع الاستعلام | Query Expansion | إضافة كلمات لتحسين البحث | P1 |
| 221 | تخطيط البحث | Search Planning | خطة بحث منظمة | P1 |
| 222 | ترتيب المصادر | Source Ranking | ترتيب نتائج حسب الموثوقية | P1 |
| 223 | التحقق من المصادر | Source Verification | التأكد من مصداقية المصدر | P1 |
| 224 | استخراج الاستشهادات | Citation Extraction | استخراج مراجع من النصوص | P1 |
| 225 | التحقق من الادعاءات | Claim Verification | التأكد من صحة ادعاء | P2 |
| 226 | المقارنة بين المصادر | Cross-Source Comparison | مقارنة معلومات من عدة مصادر | P2 |
| 227 | رسم بياني للأدلة | Evidence Graph | شبكة أدلة مرتبطة | P3 |
| 228 | تقارير بحثية | Research Reports | توليد تقارير منظمة | P1 |
| 229 | بحث مستقل | Autonomous Research | Agent يبحث لوحده | P2 |
| 230 | بحث تكراري | Recursive Research | بحث يتوسع تدريجياً | P2 |
| 231 | مراجعة أدبيات | Literature Review Agent | مراجعة شاملة للأبحاث | P3 |
| 232 | البحث الهجين | Hybrid Search Engine | دمج عدة محركات بحث | P0 |
| 233 | RAG تفاعلي | Agentic RAG | Agent يخطط عملية الاسترجاع | P1 |
| 234 | RAG تصحيحي | Corrective RAG | تحقق من النتائج قبل التوليد | P1 |
| 235 | RAG ذاتي | Self-RAG | النموذج يقرر هل يحتاج retrieval | P1 |
| 236 | RAG تكراري | Recursive RAG | استرجاع متعدد المراحل | P1 |
| 237 | RAG متكيف | Adaptive RAG | اختيار الاستراتيجية حسب السؤال | P2 |
| 238 | استرجاع متعدد الخطوات | Multi-hop Retrieval | عدة خطوات بحث مترابطة | P1 |
| 239 | تفكيك الاستعلام | Query Decomposition | تفكيك السؤال لأسئلة فرعية | P1 |
| 240 | RAG محسّن بالسياق | Contextual RAG | تضمين السياق في كل قطعة | P1 |
| 241 | Hypothetical Document Embeddings | HyDE | توليد وثيقة افتراضية ثم بحث | P2 |
| 242 | Step-Back Prompting | Step-Back Prompting | سؤال أعم قبل السؤال المحدد | P2 |

---

## 14. الذكاء متعدد الوسائط — صوت وصورة وفيديو

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 243 | فهم الصور | Image Understanding | تحليل محتوى الصور | P0 |
| 244 | التعرف الضوئي على النصوص | OCR | قراءة نصوص من صور | P1 |
| 245 | فهم المستندات | Document Understanding | تحليل ملفات PDF وصور | P1 |
| 246 | فهم الرسوم البيانية | Chart Understanding | تحليل رسوم بيانية | P2 |
| 247 | فهم لقطات الشاشة | Screenshot Understanding | تحليل صور الشاشة | P0 |
| 248 | فهم الفيديو | Video Understanding | تحليل محتوى الفيديو | P2 |
| 249 | تحويل الكلام إلى نص | Speech-to-Text (STT) | تحويل الصوت لنص مكتوب | P0 |
| 250 | تحويل النص إلى كلام | Text-to-Speech (TTS) | تحويل النص لصوت | P1 |
| 251 | المحادثة الصوتية | Real-time Voice | محادثة صوتية مباشرة | P2 |
| 252 | تحديد المتحدث | Speaker Identification | معرفة مين يحكي | P3 |
| 253 | فهم الصوت | Audio Understanding | تحليل محتوى صوتي | P2 |
| 254 | Whisper | Whisper (OpenAI) | STT من OpenAI | P0 |
| 255 | Piper TTS | Piper TTS | TTS محلي مجاني | P2 |
| 256 | تلخيص الفيديو | Video Summarization | تلخيص محتوى فيديو | P3 |
| 257 | اكتشاف الأحداث | Event Detection | اكتشاف أحداث في فيديو | P3 |
| 258 | فهم الواجهات | UI Understanding | فهم واجهات المستخدم من صور | P2 |

---

## 15. الذكاء الاستباقي — لا ينتظر السؤال

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 259 | العمال الاستباقيون | Proactive Agents | يعملون بدون طلب | P1 |
| 260 | عمال مدارين بالأحداث | Event-Driven Agents | يتفاعلون مع أحداث | P0 |
| 261 | عمال الخلفية | Background Agents | يعملون في الخلفية | P1 |
| 262 | عمال مجدولين | Scheduled Agents | يعملون بجدول زمني محدد | P0 |
| 263 | أنظمة المشغلات | Trigger Systems | مشغلات تفعّل إجراءات | P0 |
| 264 | اكتشاف الشذوذ | Anomaly Detection | اكتشاف أنماط غير طبيعية | P1 |
| 265 | اكتشاف الفرص | Opportunity Detection | اكتشاف فرص للمستخدم | P2 |
| 266 | المساعدة التنبؤية | Predictive Assistance | التنبؤ بما يحتاجه المستخدم | P2 |
| 267 | اقتراحات سياقية | Context-Aware Suggestions | اقتراحات حسب السياق | P1 |
| 268 | التنبؤ السلوكي | Behavioral Prediction | التنبؤ بتصرفات المستخدم | P2 |
| 269 | اكتشاف الروتين | Routine Detection | اكتشاف أنماط سلوكية متكررة | P2 |
| 270 | التخطيط التلقائي | Automatic Planning | تخطيط يوم المستخدم | P2 |
| 271 | التذكيرات الذكية | Smart Reminders | تذكيرات حسب السياق | P0 |
| 272 | المهام اليومية التلقائية | Daily Auto-Tasks | إنشاء مهام تلقائية | P1 |
| 273 | العمال المشرفون | Supervisor Agents | يراقبون ويديرون العمال | P1 |
| 274 | دائرة الانتظار الميتة | Dead Letter Queue | مهام فشلت تُعالج لاحقاً | P1 |

---

## 16. التخصيص — نمذجة المستخدم

| # | الاسم بالعربي | الاسم بالإنجليزي | الشرح | الأولوية |
|---|-------------|-----------------|-------|---------|
| 275 | نمذجة المستخدم | User Modeling | فهم سلوك المستخدم | P1 |
| 276 | تعلم التفضيلات | Preference Learning | اكتشاف ما يفضله المستخدم | P1 |
| 277 | النمذجة السلوكية | Behavioral Modeling | نمذجة أنماط السلوك | P1 |
